id,pid,lot_frontage,lot_area,street,alley,land_contour,utilities,overall_qual,overall_cond,year_built,year_remod/add,exterior_1st,condition_artery,condition_feedr,exterior_2nd,condition_posa,condition_posn,condition_rrae,condition_rran,mas_vnr_area,condition_rrnn,exter_qual,exter_cond,bsmt_cond,bsmt_exposure,freshness,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,totbsmtfin_sq_ft,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,total_sq_ft,garage_finish,totfin_sq_ft,garage_cars,bsmtfin_type_alq,bsmt_bath,bsmtfin_type_blq,bsmtfin_type_glq,bsmtfin_type_lwq,bsmtfin_type_rec,garage_area,garage_qual,total_bath,garage_cond,totrooms,wood_deck_sf,open_porch_sf,enclosed_porch_sf,3ssn_porch_sf,screen_porch_sf,misc_feature,misc_val,saleprice,ms_zoning_a_(agr),ms_zoning_c_(all),ms_zoning_fv,ms_zoning_i_(all),ms_zoning_rh,ms_zoning_rl,ms_zoning_rm,lot_shape_ir1,lot_shape_ir2,lot_shape_ir3,lot_shape_reg,lot_config_corner,lot_config_culdsac,lot_config_fr2,lot_config_fr3,wood_deck,open_porch,lot_config_inside,enclosed_porch,land_slope_gtl,3ssn_porch,land_slope_mod,screen_porch,land_slope_sev,neighborhood_blmngtn,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_npkvill,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_swisu,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_veenker,bldg_type_1fam,bldg_type_2fmcon,bldg_type_duplex,bldg_type_twnhs,bldg_type_twnhse,house_style_1.5fin,house_style_1.5unf,house_style_1story,house_style_2.5fin,house_style_2.5unf,house_style_2story,house_style_sfoyer,house_style_slvl,roof_style_flat,roof_style_gable,roof_style_gambrel,roof_style_hip,roof_style_mansard,roof_style_shed,roof_matl_clytile,roof_matl_compshg,roof_matl_membran,roof_matl_tar&grv,roof_matl_wdshake,roof_matl_wdshngl,mas_vnr_type_0,mas_vnr_type_brkcmn,mas_vnr_type_brkface,mas_vnr_type_stone,foundation_brktil,foundation_cblock,foundation_pconc,foundation_slab,foundation_stone,foundation_wood,bsmt_qual_0,bsmt_qual_ex,bsmt_qual_fa,bsmt_qual_gd,bsmt_qual_po,bsmt_qual_ta,heating_gasa,heating_gasw,heating_grav,heating_othw,heating_wall,central_air_n,central_air_y,electrical_fusea,electrical_fusef,electrical_fusep,electrical_mix,electrical_sbrkr,garage_type_0,garage_type_2types,garage_type_attchd,garage_type_basment,garage_type_builtin,garage_type_carport,garage_type_detchd,paved_drive_n,paved_drive_p,paved_drive_y,fence_0,fence_gdprv,fence_gdwo,fence_mnprv,fence_mnww,sale_type_cod,sale_type_cwd,sale_type_con,sale_type_conld,sale_type_conli,sale_type_conlw,sale_type_new,sale_type_oth,sale_type_wd_
1044,527451290,21.0,1680,Pave,0,Lvl,AllPub,6,5,1971,1971,HdBoard,0,0,HdBoard,0,0,0,0,232.0,0,3,3,3.0,0.0,0,387.0,0.0,96.0,483.0,3,483,504,0,0.0,0.0,1,1,387.0,2,1,3,4,8,0,0.0,1971.0,1470.0,Unf,387.0,1.0,1,0.0,0,0,0,0,264.0,3.0,2.0,0.0,6.0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2752,906380150,64.0,7488,Pave,0,Lvl,AllPub,7,5,2005,2005,VinylSd,0,0,VinylSd,0,0,0,0,0.0,0,4,3,3.0,2.0,0,393.0,0.0,815.0,1208.0,5,1208,0,0,0.0,0.0,2,0,393.0,2,1,4,6,8,0,0.0,2005.0,2416.0,RFn,393.0,2.0,0,0.0,0,1,0,0,632.0,3.0,2.0,0.0,8.0,105,58,0,0,0,0,0,183600,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
807,906226060,120.0,26400,Pave,0,Bnk,AllPub,5,7,1880,2007,HdBoard,0,1,HdBoard,0,0,0,0,0.0,0,4,3,0.0,0.0,127,0.0,0.0,0.0,0.0,5,1288,728,0,0.0,0.0,1,0,0.0,4,1,3,7,5,1,3.0,1900.0,2016.0,Unf,0.0,2.0,0,0.0,0,0,0,0,576.0,3.0,1.0,0.0,8.0,0,0,0,0,0,0,0,131000,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1177,533236070,24.0,2645,Pave,Pave,Lvl,AllPub,8,5,1999,2000,MetalSd,0,0,MetalSd,0,0,0,0,456.0,0,4,3,3.0,0.0,1,813.0,0.0,147.0,960.0,5,962,645,0,1.0,0.0,2,1,813.0,3,1,4,7,8,0,0.0,2000.0,2567.0,Unf,813.0,2.0,0,1.0,0,1,0,0,480.0,3.0,4.0,0.0,11.0,169,0,0,0,0,0,0,200000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1480,907418040,74.0,9627,Pave,0,Lvl,AllPub,7,5,2007,2007,VinylSd,0,0,VinylSd,0,0,0,0,0.0,0,4,3,3.0,2.0,0,24.0,0.0,1327.0,1351.0,5,1361,0,0,0.0,0.0,2,0,24.0,3,1,4,6,8,0,0.0,2007.0,2712.0,RFn,24.0,2.0,0,0.0,0,1,0,0,610.0,3.0,2.0,0.0,8.0,0,50,0,0,0,0,0,193000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
324,923202105,93.0,10114,Pave,0,Lvl,AllPub,5,5,2004,2005,VinylSd,0,0,VinylSd,0,0,0,0,0.0,0,3,3,3.0,2.0,1,0.0,0.0,1430.0,1430.0,5,1430,0,0,0.0,0.0,2,0,0.0,3,1,4,7,8,0,0.0,2004.0,2860.0,RFn,0.0,2.0,0,0.0,0,0,0,0,624.0,3.0,2.0,0.0,9.0,0,0,0,0,0,0,0,173500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1311,902301140,34.0,4571,Pave,Grvl,Lvl,AllPub,5,5,1916,1950,AsbShng,0,0,AsbShng,0,0,0,0,0.0,0,3,3,3.0,0.0,34,0.0,0.0,624.0,624.0,2,624,720,0,0.0,0.0,1,0,0.0,4,1,3,7,8,0,0.0,1916.0,1968.0,Unf,0.0,3.0,0,0.0,0,0,0,0,513.0,2.0,1.0,0.0,8.0,0,0,96,0,0,0,0,98000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
770,905101490,80.0,8816,Pave,0,Lvl,AllPub,5,6,1963,1963,VinylSd,0,1,VinylSd,0,0,0,0,0.0,0,3,3,3.0,0.0,0,651.0,0.0,470.0,1121.0,3,1121,0,0,1.0,0.0,1,0,651.0,3,1,3,5,8,0,0.0,1963.0,2242.0,Unf,651.0,2.0,0,1.0,0,0,0,1,480.0,3.0,2.0,0.0,7.0,0,80,0,0,0,0,0,139000,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2063,905107140,71.0,8197,Pave,0,Lvl,AllPub,6,5,1977,1977,Plywood,0,0,Plywood,0,0,0,0,148.0,0,3,3,3.0,0.0,0,0.0,0.0,660.0,660.0,5,1285,0,0,0.0,0.0,1,1,0.0,3,1,3,7,8,1,3.0,1977.0,1945.0,RFn,0.0,2.0,0,0.0,0,0,0,0,528.0,3.0,2.0,0.0,9.0,138,0,0,0,0,0,0,143500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
69,528458070,72.0,8640,Pave,0,Lvl,AllPub,7,5,2009,2009,VinylSd,0,0,VinylSd,0,0,0,0,0.0,0,3,3,3.0,1.0,0,24.0,0.0,732.0,756.0,5,764,783,0,0.0,0.0,2,1,24.0,3,1,4,7,8,0,0.0,2009.0,2303.0,Unf,24.0,2.0,0,0.0,0,1,0,0,614.0,3.0,3.0,0.0,10.0,169,45,0,0,0,0,0,215200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2062,905106150,109.0,8724,Pave,0,Lvl,AllPub,5,5,1968,1968,VinylSd,0,0,VinylSd,0,0,0,0,0.0,0,3,3,3.0,0.0,0,492.0,0.0,402.0,894.0,4,894,0,0,0.0,0.0,1,0,492.0,3,1,3,5,8,1,1.0,1968.0,1788.0,Fin,492.0,2.0,0,0.0,1,0,0,0,450.0,3.0,1.0,0.0,6.0,0,0,0,0,0,0,0,129000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
351,527131030,40.0,5664,Pave,0,Lvl,AllPub,8,5,2000,2000,CemntBd,0,0,CmentBd,0,0,0,0,0.0,0,4,3,3.0,0.0,0,1158.0,0.0,343.0,1501.0,5,1659,0,0,1.0,0.0,2,0,1158.0,2,1,5,5,8,1,5.0,2000.0,3160.0,Fin,1158.0,2.0,0,1.0,0,1,0,0,499.0,3.0,3.0,0.0,8.0,212,59,0,0,0,0,0,278000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
